"K","rep","fold","RMSE","MAE","R2"
5,1,1,2.15107692307628,1.60260658719697,0.734793905564982
5,1,2,2.21611739539961,1.66976333864838,0.712669725071928
5,1,3,2.05979078775201,1.56270197684251,0.739864680867981
5,1,4,2.13395876572208,1.61043848181892,0.753225287973079
5,1,5,2.09359524165898,1.58422998549824,0.750105137034459
5,2,1,2.11908465583917,1.60410613093231,0.742874871363183
5,2,2,2.11036302279422,1.59765646225785,0.743275548193816
5,2,3,2.05841604944885,1.56638422747588,0.755693402526292
5,2,4,2.20637236714027,1.65531752300489,0.724787248710238
5,2,5,2.15806464847623,1.60432886429779,0.726151676476711
5,3,1,2.07763122762323,1.58740736937093,0.75074122260615
5,3,2,2.0737589066861,1.55767128666166,0.743048550400391
5,3,3,2.11743523532558,1.59659352264007,0.74914477045891
5,3,4,2.23639961330669,1.66597505592378,0.715758226946235
5,3,5,2.14934179435606,1.62145109814821,0.734003604306718
5,4,1,2.0576532530883,1.55415337970476,0.745682704115685
5,4,2,2.18071625934709,1.63491665414339,0.722473079668857
5,4,3,2.13974851889827,1.61702105580269,0.738326141051037
5,4,4,2.13997892221336,1.61031887430019,0.731307912118861
5,4,5,2.12735787053805,1.60814029449605,0.756029968845037
5,5,1,2.10112520366297,1.59266733579026,0.740931974635631
5,5,2,2.15152661603749,1.60891632013126,0.736908892885258
5,5,3,2.16087043054159,1.63789905491114,0.733656957858287
5,5,4,2.1250517624078,1.58707334918992,0.736410083098648
5,5,5,2.10581760279215,1.59706135995037,0.748135627738903
10,1,1,2.05840104075246,1.5358091466479,0.757153637234463
10,1,2,2.1108998428432,1.59078842609676,0.739305950626823
10,1,3,1.96376073771719,1.47334401475757,0.763554940521447
10,1,4,2.06036272772908,1.55444453681128,0.769953316405694
10,1,5,2.00686464896234,1.51236397472084,0.77038087947355
10,2,1,2.02233354205468,1.531032101595,0.765818017382298
10,2,2,2.0183173966415,1.52495160970474,0.765181761986281
10,2,3,1.97398136939655,1.48447190655772,0.775324883638827
10,2,4,2.10797123266535,1.58427459544008,0.748788051472291
10,2,5,2.07097977727888,1.53561545157382,0.747807073315364
10,3,1,1.99878303209367,1.5200161248038,0.769301463251613
10,3,2,2.02225268651524,1.5096840511452,0.755653914676314
10,3,3,2.01336913256725,1.51321839871412,0.773196527377561
10,3,4,2.11586391575897,1.58970420067355,0.745572206963636
10,3,5,2.05330121468361,1.53561319515077,0.757243921855452
10,4,1,1.98080321813789,1.49796818192779,0.764324639159115
10,4,2,2.0644892235041,1.55169937243421,0.751267787189894
10,4,3,2.05278024284634,1.54662791307151,0.759164896693447
10,4,4,2.05364582065734,1.537620202992,0.752550273646968
10,4,5,2.04082590891837,1.52797684409281,0.775473662999524
10,5,1,1.99829612838018,1.51644804601858,0.76566905484972
10,5,2,2.05509001436236,1.53649322576973,0.759965083545129
10,5,3,2.05448332063151,1.55420518520654,0.759237334818676
10,5,4,2.05555151973127,1.51510661555227,0.753369661234502
10,5,5,2.02595220714303,1.53666069758281,0.766877803243996
15,1,1,2.02765329135818,1.51705645858886,0.764354575497223
15,1,2,2.0731872173176,1.56997225279885,0.748537685939856
15,1,3,1.94370792539616,1.46014509334288,0.768359171632711
15,1,4,2.04637298915676,1.53955178268381,0.773066716694154
15,1,5,1.99126829316607,1.49703705440363,0.773935982968297
15,2,1,2.00308603659028,1.52186007263423,0.77025444616805
15,2,2,1.98489826378514,1.50621518992158,0.772893585135846
15,2,3,1.95055810858473,1.47081748150303,0.780625238328175
15,2,4,2.09248912663527,1.56292808288183,0.752464579325335
15,2,5,2.04391066047001,1.51473834856819,0.754356654772806
15,3,1,1.97170244675581,1.49684932870957,0.775510370771459
15,3,2,2.00575125378986,1.49831565948609,0.759625337097852
15,3,3,1.98810924024852,1.49874470782474,0.778851817069234
15,3,4,2.08124337139673,1.56577065034742,0.753830172189213
15,3,5,2.03267102899541,1.52323931328395,0.762097514609454
15,4,1,1.94813276245344,1.4707812808816,0.772034768421909
15,4,2,2.04234067684327,1.53308900776164,0.756576127320609
15,4,3,2.03661204912919,1.53809236309287,0.762943707496192
15,4,4,2.02884769089437,1.524949305483,0.758490189845321
15,4,5,2.01244609475383,1.50902221687155,0.781674790618605
15,5,1,1.96754269667504,1.49898938423682,0.772826179733029
15,5,2,2.03328046933458,1.51842962238963,0.765032768084887
15,5,3,2.04821623111866,1.54856566367453,0.760703961273104
15,5,4,2.02850214552522,1.49402845177749,0.759817860193023
15,5,5,1.99133635392228,1.5151342229918,0.774776097392564
20,1,1,2.00919269211153,1.5062040173421,0.768625870743338
20,1,2,2.06537551501903,1.56389000153381,0.75042911949603
20,1,3,1.93190698752305,1.45108876607029,0.771163379740906
20,1,4,2.03096712606447,1.52659419674191,0.776470732603984
20,1,5,1.98787823465463,1.4961418441956,0.774705058526426
20,2,1,1.99343231153409,1.51122259467992,0.772463593319633
20,2,2,1.97644586816859,1.50166219933581,0.774823665028068
20,2,3,1.94404471132387,1.46696881523925,0.78208788564081
20,2,4,2.07487341778358,1.55013745482903,0.756614810997477
20,2,5,2.02966080069243,1.50662494130621,0.757769897044758
20,3,1,1.96038134267658,1.488939132549,0.778080914988021
20,3,2,1.99484120805559,1.49199152768653,0.762233204026453
20,3,3,1.98513613518368,1.49458805167676,0.779512751734998
20,3,4,2.06602650458052,1.55656645245,0.757416719989051
20,3,5,2.01942653767607,1.5124141443314,0.765187667456371
20,4,1,1.93379977866156,1.45969703797999,0.775376842783018
20,4,2,2.0283944393894,1.52253200084943,0.759889243704184
20,4,3,2.03279245315286,1.5319494041846,0.763832055556902
20,4,4,2.01650355328702,1.51711963980341,0.761420090378676
20,4,5,2.00264243110774,1.50605300442834,0.783796758962588
20,5,1,1.94980720334274,1.48250883523729,0.776903225516231
20,5,2,2.02967892598678,1.51806715182056,0.765864424325659
20,5,3,2.03488257246676,1.54122094330504,0.763809401143875
20,5,4,2.01477919346444,1.48375833749688,0.763056564318556
20,5,5,1.98579728289571,1.51265247722426,0.776027313576147
25,1,1,1.99020785260909,1.48767035095857,0.77297771604756
25,1,2,2.04569045300055,1.55367968575607,0.755163760947745
25,1,3,1.92422615759108,1.43892419201406,0.772979368970113
25,1,4,2.00803631056507,1.50789190961199,0.781489791937906
25,1,5,1.97545191617623,1.49037060270584,0.777512913125296
25,2,1,1.97404616128022,1.49301975906967,0.776867661784549
25,2,2,1.96279198459302,1.48926045341139,0.777924090510158
25,2,3,1.92842663005098,1.45278047360676,0.785575149165419
25,2,4,2.05417340752743,1.53662328396258,0.761446859680744
25,2,5,2.01941518371648,1.50110997933024,0.760209253282536
25,3,1,1.94321743952134,1.47507586270586,0.781949879633645
25,3,2,1.98507688094019,1.48528042046276,0.764555144050804
25,3,3,1.96958415037878,1.4793310788288,0.782953908696556
25,3,4,2.04841478876967,1.54176936422591,0.76153486490748
25,3,5,1.99943243574908,1.49872003976461,0.769814347347692
25,4,1,1.918637322796,1.44873531622698,0.778885465099314
25,4,2,2.01591385051884,1.50867770620333,0.762834927487046
25,4,3,2.01690386276595,1.51630602335513,0.767509471004769
25,4,4,2.00142325587656,1.50761601128851,0.764975157579401
25,4,5,1.98079632850954,1.49071613794695,0.788487997180346
25,5,1,1.93737947076812,1.46949750933228,0.779738122271738
25,5,2,2.01989354860086,1.5149315942172,0.768116585554708
25,5,3,2.01116144183678,1.51864811184733,0.769283969599114
25,5,4,1.99282814868852,1.46554462584853,0.768191442277187
25,5,5,1.97593455416578,1.50587857894878,0.778246569555269
30,1,1,1.97680102991284,1.47679927864912,0.776026036756215
30,1,2,2.032239800814,1.53411878340824,0.758372829533742
30,1,3,1.9100947377194,1.42527519416974,0.776301581064663
30,1,4,1.99400986457987,1.49413461513762,0.784531785887272
30,1,5,1.96122589489798,1.47767262339975,0.780705812337288
30,2,1,1.95441325924594,1.47788893003394,0.78128392224688
30,2,2,1.94406854798854,1.47109171518202,0.782140729016232
30,2,3,1.91112281902526,1.43981048975856,0.789405961747156
30,2,4,2.05376398913011,1.52894594987903,0.761541942511524
30,2,5,2.00831918048326,1.48904126726168,0.762837151742615
30,3,1,1.9249342344752,1.46272383573996,0.786033725633596
30,3,2,1.97216325225256,1.47324982061699,0.767608484584968
30,3,3,1.95170340240478,1.45927387633309,0.786876899232729
30,3,4,2.04217710826322,1.52845192859164,0.762984966290508
30,3,5,1.9889398080021,1.48694077017909,0.772223946130299
30,4,1,1.90277483794131,1.43601956570531,0.782526514879407
30,4,2,2.01243168353648,1.50250195531855,0.763653548902365
30,4,3,1.99860482775417,1.49649681461033,0.771709029437684
30,4,4,1.98803613974799,1.49526337088844,0.768108710015498
30,4,5,1.96331731067081,1.47267969516065,0.792204391760104
30,5,1,1.92173089278697,1.45128004344343,0.783281945313121
30,5,2,2.00682951977026,1.49706405507449,0.771106381959781
30,5,3,1.98871491564367,1.49919620034075,0.774405262427667
30,5,4,1.98169217932982,1.45898711253751,0.770774906887613
30,5,5,1.97458187666092,1.50181916950465,0.778550079814085
50,1,1,1.95590898796487,1.46554815093833,0.780735207435072
50,1,2,2.02329829882401,1.53105670846954,0.760494387128266
50,1,3,1.88674097306057,1.41194572970365,0.78173823642799
50,1,4,1.97293379721695,1.47957760364831,0.789062578855266
50,1,5,1.94705738112829,1.46929861844538,0.783862867819223
50,2,1,1.94856427862361,1.48070532402654,0.782591068380953
50,2,2,1.92867693917668,1.45833092144697,0.785576750505471
50,2,3,1.89300664068966,1.43436626125876,0.793379622178455
50,2,4,2.03589128216304,1.51237139409831,0.765674205649284
50,2,5,1.98440313417144,1.47309181751577,0.768452021387901
50,3,1,1.91494069694497,1.4578715707281,0.788249624110012
50,3,2,1.94789576021611,1.45772534134556,0.773292458081373
50,3,3,1.93743545940017,1.45600540507083,0.789981585376739
50,3,4,2.02246644863412,1.51445908681254,0.767538124192711
50,3,5,1.97395095035748,1.47757215590687,0.775644098228636
50,4,1,1.89249577462518,1.43376973690822,0.784869814400152
50,4,2,2.00093978096498,1.49239540383564,0.766345133825294
50,4,3,1.97096731035247,1.47889856402654,0.777979174635559
50,4,4,1.97495896051085,1.4839504459068,0.771149409483577
50,4,5,1.94456391012726,1.46494188409368,0.796155116367636
50,5,1,1.90666803077181,1.44578199665966,0.786665978655867
50,5,2,1.98750200893637,1.48496114811352,0.775494039833684
50,5,3,1.96936687187376,1.48480073375272,0.778773494747568
50,5,4,1.96837602969942,1.45507894714875,0.773845151857272
50,5,5,1.95832729939366,1.48798957121074,0.782180984357035
72,1,1,1.9544584327998,1.46213444480014,0.781060312273762
72,1,2,2.01606703271499,1.52458649114526,0.762203313455482
72,1,3,1.88592379105261,1.41112953628085,0.781927261803878
72,1,4,1.96108207774379,1.4710381818028,0.791589234628532
72,1,5,1.93800840620696,1.46112002314941,0.785867199750184
72,2,1,1.94767113545586,1.47630709463218,0.782790325652059
72,2,2,1.91863926903317,1.44749384834523,0.787802845534229
72,2,3,1.87681532106448,1.42559312641021,0.79689904918772
72,2,4,2.03226370633231,1.51133809626038,0.766508510795697
72,2,5,1.98070233864223,1.47009404970908,0.769314862878356
72,3,1,1.91093315881821,1.45783341066395,0.789134988073997
72,3,2,1.94202440694976,1.4531279031831,0.774657083459304
72,3,3,1.92946396147771,1.44509201581658,0.791706254153678
72,3,4,2.01447273954233,1.50483796600505,0.76937208323844
72,3,5,1.96589050826245,1.47351146137372,0.777472629503466
72,4,1,1.8843986625682,1.42936895179235,0.786706760913434
72,4,2,1.99363830152684,1.48873982093341,0.768047247553055
72,4,3,1.96153601122663,1.47360270648176,0.780098879944804
72,4,4,1.97867972859536,1.48065795831141,0.770286300840246
72,4,5,1.93860262358134,1.46168495334358,0.797403020971482
72,5,1,1.90677066518582,1.44029840825785,0.786643010838478
72,5,2,1.97440891038532,1.47481285568947,0.778442259682971
72,5,3,1.96312516503733,1.48102893749518,0.78017358206359
72,5,4,1.96445146797025,1.44924048660871,0.774746071029433
72,5,5,1.95067656581683,1.48516832591172,0.783879597239289
100,1,1,1.92107470319335,1.4424119251452,0.788475769364829
100,1,2,1.97042080513653,1.4843383176174,0.772849429544692
100,1,3,1.87728908896565,1.41033313438318,0.783919582484599
100,1,4,1.91185705040215,1.4424778853921,0.801920541087521
100,1,5,1.90446818864215,1.43971988193285,0.793214858696751
100,2,1,1.92013309447249,1.45977096145994,0.78888914029493
100,2,2,1.88544049102317,1.43006980693481,0.795082732068604
100,2,3,1.86102931394088,1.41142767051325,0.800301269370933
100,2,4,1.98426420505537,1.47735537044135,0.777407806786716
100,2,5,1.93662891452362,1.44210126385384,0.779466784954709
100,3,1,1.87852280567321,1.43558478917354,0.796227076792386
100,3,2,1.91349360066887,1.42713864812068,0.781229594500908
100,3,3,1.89313551907632,1.42179818580524,0.799476029499354
100,3,4,1.95535748290505,1.47441436573912,0.782709158428786
100,3,5,1.96002035688599,1.46626577925689,0.778799579385798
100,4,1,1.85048401046498,1.40134442619345,0.79431520484936
100,4,2,1.95349923764733,1.45414618916937,0.777293298721357
100,4,3,1.9331389818789,1.45297305497352,0.786419781151702
100,4,4,1.9448922447834,1.46343534831009,0.778064397945532
100,4,5,1.90356434836631,1.44493601279282,0.804660308449952
100,5,1,1.87893839183103,1.42776228208625,0.792826105074418
100,5,2,1.92824294245767,1.44175043949495,0.788682130518837
100,5,3,1.93732486897193,1.46132520558496,0.785913732984793
100,5,4,1.93300108096343,1.4342391237802,0.781900856184749
100,5,5,1.90462249834839,1.44938501320675,0.79396402596043
